Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Melzer J.,Ginepri R.,Ginepri R.,55,18,675,1495,3.0,1.36,1-6 4-6 2-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Serra F.,Ferrer D.,14,37,1635,863,1.8,1.9,4-6 6-3 6-1 6-4
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Schuettler R.,Burgsmuller L.,Burgsmuller L.,87,143,463,295,1.57,2.25,6-3 3-6 6-7 3-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Bracciali D.,Lu Y.H.,Bracciali D.,80,161,498,256,1.72,2.0,6-1 7-6 6-2
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Vicente F.,Hernych J.,Hernych J.,106,90,400,455,4.0,1.22,6-2 3-6 6-7 2-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Stepanek R.,Rehnquist B.,Stepanek R.,20,368,1440,83,1.07,7.0,6-1 6-2 6-2
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Bjorkman J.,Gremelmayr D.,Gremelmayr D.,66,177,578,218,1.25,3.75,6-3 2-6 0-6 1-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Nalbandian D.,Udomchoke D.,Nalbandian D.,4,121,2370,370,1.04,9.0,6-2 6-2 1-6 6-7 6-1
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Montanes A.,Wawrinka S.,Wawrinka S.,72,46,536,735,6.0,1.11,6-4 2-6 3-6 0-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Gimelstob J.,Baghdatis M.,54,115,684,383,1.36,3.0,7-6 7-5 6-0
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Kimmich M.,Nieminen J.,Nieminen J.,313,24,103,1230,8.5,1.05,2-6 3-6 1-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Ancic M.,Calleri A.,Ancic M.,21,52,1390,692,1.28,3.5,6-4 4-6 6-3 6-4
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Moya C.,Pavel A.,Pavel A.,35,82,885,485,1.25,3.75,4-6 6-7 6-4 6-3 4-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Moodie W.,Hernandez O.,Moodie W.,60,113,603,385,1.07,7.5,3-6 7-6 6-4 6-2
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Waske A.,Faurel J.C.,Faurel J.C.,122,203,368,183,1.44,2.62,6-7 3-6 6-7
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Dent T.,Garcia-Lopez G.,110,31,393,920,5.0,1.14,7-6 6-3 7-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Dlouhy L.,Kohlschreiber P.,Kohlschreiber P.,96,79,428,500,2.62,1.44,5-7 2-6 4-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Guccione C.,Ljubicic I.,8,148,2180,283,1.08,7.0,7-6 6-4 7-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Reynolds B.,Berdych T.,Berdych T.,92,23,442,1250,6.0,1.11,5-7 3-6 7-6 1-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Behrend T.,Lopez F.,33,88,900,461,1.1,6.5,6-2 7-5 6-3
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Spadea V.,Santoro F.,Santoro F.,73,65,515,580,2.2,1.61,6-3 0-6 2-6 3-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Vanek J.,Robredo T.,19,97,1490,425,1.12,5.5,6-4 7-6 6-3
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Massu N.,Simon G.,Simon G.,61,123,600,365,1.39,2.87,6-7 2-6 6-3 6-4 3-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Blake J.,Acasuso J.,Blake J.,22,45,1390,768,1.08,7.0,6-2 6-3 4-6 7-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Malisse X.,Malisse X.,42,39,795,836,1.9,1.8,5-7 7-5 4-6 2-6
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Johansson T.,Saulnier C.,Johansson T.,13,89,1645,460,1.16,4.5,6-1 7-6 6-4
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Henman T.,Tursunov D.,Tursunov D.,36,53,870,690,1.83,1.83,7-5 3-6 4-6 5-7
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Muller G.,Mello R.,Muller G.,71,131,538,323,1.28,3.5,5-7 6-2 6-7 7-6 6-0
Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Lammer M.,Roddick A.,Roddick A.,220,3,163,3085,15.0,1.01,4-6 2-6 2-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Istomin D.,Federer R.,1,195,6725,198,1.0,2.1,6-2 6-3 6-2
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Hanescu V.,Coria G.,Coria G.,38,9,856,2175,4.0,1.22,4-6 6-1 6-4 2-6 1-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Horna L.,Monfils G.,Horna L.,81,27,492,1129,4.5,1.16,6-4 7-5 6-1
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Marach O.,Hrbaty D.,Hrbaty D.,125,15,360,1540,7.5,1.07,6-3 6-4 2-6 1-6 3-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Goldstein P.,Goldstein P.,76,68,502,567,1.39,2.75,2-6 6-1 3-6 2-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Luczak P.,Minar I.,Luczak P.,139,102,304,413,1.57,2.25,7-6 7-6 6-4
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Fleishman Z.,Norman D.,Norman D.,236,104,150,404,2.0,1.72,4-6 6-7 7-5 6-0 3-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Rochus O.,Llodra M.,Rochus O.,29,141,1045,298,1.16,4.5,6-4 6-2 6-2
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Berlocq C.,Phau B.,Phau B.,75,91,504,454,3.39,1.3,4-6 6-7 6-2 6-7
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kim K.,Levy H.,Kim K.,99,218,416,165,1.9,1.8,6-4 6-4 6-0
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Haas T.,Haas T.,16,41,1511,825,2.62,1.44,2-6 5-7 2-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Karlovic I.,Davydenko N.,5,67,2355,575,1.33,3.0,7-5 4-6 3-6 7-5 6-3
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Almagro N.,Andreev I.,Andreev I.,111,26,392,1215,4.33,1.19,5-7 4-6 3-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Pashanski B.,Arthurs W.,Pashanski B.,77,100,502,416,2.62,1.44,6-3 6-4 4-6 7-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Lisnard J.R.,Monaco J.,Monaco J.,109,85,393,477,2.5,1.5,6-4 2-6 4-6 3-6
Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Chela J.I.,Murray A.,Chela J.I.,51,62,695,593,2.37,1.53,6-1 6-3 6-3
